GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SimulateurImpot2024,com.kerware.simulateurreusine,CalculerImpotBrut,0,95,0,4,0,9,0,5,0,3
SimulateurImpot2024,com.kerware.simulateurreusine,CalculCEHR,0,116,0,6,0,11,0,6,0,3
SimulateurImpot2024,com.kerware.simulateurreusine,CalculDecote,0,42,0,8,0,8,0,6,0,2
SimulateurImpot2024,com.kerware.simulateurreusine,SimulateurReusine,12,201,3,27,3,43,3,17,0,5
SimulateurImpot2024,com.kerware.simulateurreusine,CalculPartFiscale,0,70,2,12,0,13,2,7,0,2
SimulateurImpot2024,com.kerware.simulateurreusine,AdaptateurSimulateurReusine,31,98,0,0,4,23,4,13,4,13
SimulateurImpot2024,com.kerware.simulateurreusine,CalculAbattement,0,42,0,4,0,7,0,4,0,2
SimulateurImpot2024,com.kerware.simulateurreusine,PlafondQuotientFamilial,0,27,0,2,0,6,0,3,0,2
SimulateurImpot2024,com.kerware.simulateurreusine,DonneesFiscales,0,58,0,4,0,17,0,11,0,9
SimulateurImpot2024,com.kerware.simulateur,SituationFamiliale,0,33,0,0,0,6,0,1,0,1
